"";"sKNotes:notes";"item ### type";"item ### note";
"032600cd-fd33-4e46-9b14-59cdfec9cd33";"";;;"
"
"0326b7af-2f4d-4c1a-a7da-7c81fcce0ff6";;"Note sur le multimedia ### ";"Cliché Michel Devarieux ### ";"
"
"032e03b5-7756-4b64-8ac4-cbb421d8007d";"";;;"
"
"0338748f-9032-40c1-bbe8-0f03134ff8ed";"";;;"
"
"033a6961-b86d-4ddc-a9b2-4143a6140e65";"";;;"
"
"033fe2db-e080-4bd9-adba-cf4c1c4f6d30";"";;;"
"
"036935c8-5b0a-4cad-8981-f74f35722c4e";"";;;"
"
"0395b7b4-74ff-4001-8315-67876557ee7f";"";;;"
"
"03a2434e-7200-4bbe-a625-515d9d17b625";;"Note sur l'exposition - 1963, Le Havre, Musée-Maison de la ###  ### Note sur l'exposition - 1977, Le Havre, Musée des Beaux-Arts ###  ### Note sur l'exposition - 1988, Kurashiki, Musée des Beaux-Arts ### ";"n° 62 du catalogue ###  ### n° 78 du catalogue ###  ### n° 62 du catalogue, p. 103 ### ";"
"
"03ac082f-22d9-491f-a617-aacc1959ebb5";"";;;"
"
"03ca5976-1b4d-4cbb-96bd-ae22441224b4";;"Note sur l'exposition - 2005, Le Havre, De COURBET à MATISSE donation Senn ###  ### Note sur l'exposition - 2010, Le Havre, Degas inédit ###  ### Note sur l'exposition - 2010, Roubaix, Degas sculpteur ### ";"s.n° ###  ### s.n° ###  ### Repr. p.107 et Notice n° 15 p. 106 ### ";"
"
"03d15e11-720f-4e50-8be2-50ee31a9526f";;"Note sur l'exposition - 1934, Paris ###  ### Note sur l'exposition - 1942, Paris, Les Fleurs et les fruits depuis ###  ### Note sur l'exposition - 2005, Le Havre, De COURBET à MATISSE donation Senn ### ";"N°116 (Nature morte) ###  ### N°179 (Nature morte aux primevères) ###  ### Cat.63, pp154-155 repr. ### ";"
"
"03de28c8-755b-45ac-9c07-0c85c6a62c75";"";;;"
"
"03e2085d-4dff-4d9e-b593-8ff8bd1de6c6";"";;;"
"
"03fa3a05-a3d4-4054-86c7-cc508c811685";;"Note sur l'identification ### ";"Mode d'entrée introuvable au moment du récolement. Retrouvé dans les archives du MuMa le courrier de don des oeuvres au musée. VD 17/08/2016 ### ";"
"
"0410214f-d45a-43bc-a090-d6b9a2ba5020";;"Récolement ### ";"Fiche de récolement 2760 ### ";"
"
"042966c6-3167-4401-a426-c5444cb07b62";;"Note sur le multimedia ### ";"Photo Charles Maslard ### ";"
"
"044cc2db-7e7f-4881-9ff8-e9d8d749c9e6";;"Note sur l'exposition - 1967, Paris, Marquet. 1875-1947 ###  ### Note sur l'exposition - 2005, Le Havre, De COURBET à MATISSE donation Senn ### ";"n° 128, repr. p. 119 ###  ### s.n° ### ";"
"
"047727f2-9bb4-4484-93ff-73d5e400d6be";;"Note sur le multimedia ### ";"Triptyque photographique ### ";"
"
"048ecda8-02f1-4050-aac0-56a85fcac40a";;"Note sur le multimedia ### ";"Cliché Florian Kleinfenn ### ";"
"
"04a954c0-6b0a-4839-8740-1ab137c43b87";"";;;"
"
"04ae1dc2-dda5-4923-98d4-2fbf6a45c0d9";;"Note sur les numéros d'identification ### ";"+ une lettre manuscrite (5 pages écrites sur 3 feuillets) ### ";"
"
"04c7f57e-e786-4168-976c-3db4d145a094";"";;;"
"
"04ccf136-916c-48f7-b41e-2e1595268a41";"";;;"
"
"04d83cfe-a883-457a-84f1-0e8f37ed97fb";;"Note sur les numéros d'identification ###  ### Note sur le statut juridique ### ";"Transfert de dépôt au musée de Roubaix. ###  ### Envoi direct à la Mairie du Havre, sousdéposé arbitrairement au musée Malraux. ### ";"
"
"04d8e1a5-a316-4624-b9da-ba89bafa16b5";"";;;"
"
"04d967d0-389e-474f-b8d8-298f1136f087";;"Note sur les numéros d'identification ### ";"Ensemble de 15 planches très abîmées. ### ";"
"
"04e65e15-1a1f-4e28-a571-12d2eb2bebeb";;"Note sur le statut juridique ### ";"achat de la Ville ### ";"
"
"04f5a16e-2e44-43a2-98d9-30253799b991";"";;;"
"
"0502cfda-15c6-46a7-9a7a-8047e2d69a09";"";;;"
"
"050b1311-6880-4b15-9dc1-792394d7b636";"";;;"
"
"052a21aa-e773-4424-80bb-942fd8dff8d5";;"Note sur l'exposition - 1978, Le Havre, Musée des Beaux-Arts.... ###  ### Note sur l'exposition - 1987, Le Havre, Musée des Beaux-Arts André Malraux ###  ### Export DMF ### ";"p. 20 du catalogue, ch. Animaux ###  ### n° 108 du catalogue, vignette en noir et blanc ### ";"
"
"052b7285-a83f-47ea-88de-b7f0ec0736d4";"";;;"
"
"05326311-722a-4008-a563-56e244b9fe82";"";;;"
"
"0535f384-2c15-4ad9-97d5-cd203689016b";"";;;"
"
"054a3fdf-9e24-4f65-beef-028d8851a3ce";;"Note sur l'exposition - 2011, Le Havre, Construire le musée imaginaire ### ";"Repr. p. 136 ### ";"
"
"05503eed-cab4-4e36-b64e-a1d0677e9bee";;"Note sur le multimedia ### ";"Imagette ### ";"
"
"055627ef-ec89-4436-afb7-a99885781009";"";;;"
"
"055da1f1-fcc4-4ad5-84b1-85925950839b";"";;;"
"
"055eec90-e17d-428f-9e4b-b8c0a2e1dea5";"";;;"
"
"0563f57b-9a7e-426c-8215-61c2840e7db2";"";;;"
"
"0578a242-5092-41f0-a862-ef42a4ed5f7f";;"Note sur l'exposition - 1955, Paris, 1850-1950 ###  ### Note sur l'exposition - 2005, Le Havre, De COURBET à MATISSE donation Senn ###  ### Note sur l'exposition - 2009-2010, Nantes, Fascinante Italie ###  ### Note sur l'exposition - 2012, Paris, Le Cercle de l'Art moderne ###  ### Export DMF ### ";"N°102 ###  ### Cat.60, pp.148-149 repr. ###  ### Reprod. n°39 p. 119 ###  ### Cat.26, p.82 repr. ### ";"
"
"057caab3-d897-4f84-91f6-c630158dbe1a";"";;;"
"
"059cf79f-0a3b-4e74-934f-919077fdf63e";"";;;"
"
"05a1ae82-0eeb-47ae-a40e-d451963c8640";;"Note sur l'exposition - 1963, Le Havre, Musée-Maison de la ###  ### Note sur l'exposition - 1977, Le Havre, Musée des Beaux-Arts ###  ### Note sur l'exposition - 1989, Saragosse, Barcelone, Madrid ###  ### Note sur l'exposition - 2012, Langres, La route bleue. Raoul DUFY en pays ###  ### Note sur l'exposition - 2014, Tokyo, Raoul Dufy : rétrospective, ### ";"n° 56 du catalogue ###  ### n° 75 du catalogue ###  ### n° 54 du catalogue, reprod. p. 76 ###  ### Reprod. n°40 p.76 ###  ### n° 111 ### ";"
"
"05b692e6-4565-48b5-ad13-3b928bb58656";"";;;"
"
"05c065a9-c73d-4d21-9708-f4d301508fb7";"";;;"
"
"05d4a825-e850-495e-88a8-4e0975f5e85a";"";;;"
"
"05e42bde-7be3-4faf-ace5-2045397f9d3d";"";;;"
"
"05e830f2-2e43-48ce-adea-910173001a5d";;"Note sur l'exposition - 1954, Nice, Musée Masséna ###  ### Note sur l'exposition - 1959, Le Havre, Chambre de Commerce ###  ### Note sur l'exposition - 1964, Rennes, Musée des Beaux-Arts ###  ### Note sur l'exposition - 1982, Villefranche sur Mer, E.Boudin ###  ### Note sur l'exposition - 1987, Le Havre, Musée des Beaux-Arts André Malraux ###  ### Note sur l'exposition - 1993, Caen, Musée des Beaux-Arts, Abbaye aux Dames ###  ### Note sur l'exposition - 1998, Bogota,E.Boudin, Museo Nacional de Colombia. ###  ### Note sur l'exposition - 2000, Morlaix,Musée des Jacobins ###  ### Export DMF ### ";"n° 31 du catalogue, sous le titre : La bourgade au bord de la mer en Bretagne ###  ### n° 40 du catalogue, sous le titre : \"La bourgade au bord de la mer en Bretagne\" ###  ### n° 40 ###  ### date de l'exposition trouvée dans d'autres catalogues d'exposition.n° 13du catalogue, sous le titre : \"Bourgade au bord de la mer en Bretagne\". ###  ### n° 222 du catalogue. ###  ### Notice tableau p. 68Repr. en coul. p. 69. ###  ### n° 35 du catalogueRepr. en coul. p. 49. ###  ### n° 14 du catalogueRepr. en coul. p. 119. ### ";"
"
"05eacb7a-b1bf-406e-bf24-8eaa9fb4813a";"";;;"
"
"05fe6157-0e65-405f-b77e-560dcdd795e5";"";;;"
"
"06018ff6-c853-4f67-af93-253d8d2720fe";"";;;"
"
"061845e5-8d89-4985-9af7-4e1076c45995";;"Note sur l'exposition - 2011, Paris, Raoul et Jean Dufy. Complicité et ###  ### Note sur le statut juridique ### ";"Reprod. n°12 ###  ### Acquis avec l'aide du Fonds Régional d'Acquisition des Musées (FRAM) à hauteur de 60%. ### ";"
"
"061888b2-bc09-4c56-994b-d9bc000b8ead";;"Note sur l'exposition - 1978, Le Havre, Musée des Beaux-Arts.... ###  ### Note sur l'exposition - 1987, Le Havre, Musée des Beaux-Arts André Malraux ### ";"p. 47 du catalogue, ch. Animaux ###  ### n° 158 du catalogue, vignette en noir et blanc ### ";"
"
"062cf9bd-cf83-4d93-b918-10e4f71bcd33";;"Note sur les numéros d'identification ###  ### Note sur le statut juridique ### ";"DISPARU DEPUIS 1958NON VU lors du récolement du 28/04/2015 ###  ### [Unique statut mentionné comme statut Antérieur dans Micromusée et basculé comme statut Actuel pour la reprise]Inventaire :(IV-8) Arnould, Reynold, Collections du musée des Beaux-Arts de la Ville du Havre, la peinture, école française du XVIème à la fin du XIXème siècle, oeuvres appartenant aux collections en 1952, anciennes collections (1887) et additifs, septembre 1957, p.18 (fiche grahal 3284)(IV-9) Arnould, Reynold, Le Musée du Havre, décembre 1952, p.23 (fiche grahal 3909)(I-1) Premier registre d'inventaire - Musée du Havre, livre des entrées des tableaux, sculptures et objets de curiosité appartenant à la collection (1844 ou 1845 (1870 à 1875 et avant)), p.3 (fiche grahal 647)(I-1) Premier registre d'inventaire - Musée du Havre, livre des entrées des tableaux, sculptures et objets de curiosité appartenant à la collection (1844 ou 1845 (1870 à 1875 et avant)), p.23 (fiche grahal 871)(I-2) Registre d'inventaire du musée du Havre (1871-1957), p. 23verso (fiche grahal 1892)(III) Lhullier, Ch., Musée du Havre, Catalogue peinture, sculpture, dessins, Le Havre, impr. Maudet & Godefroy, 1887, p.123, 124, 28 (fiche grahal 215 ### ";"
"
"062ef531-dfe0-4a0d-afe4-7583215544f4";;"Note sur l'exposition - 2011, Le Havre, Albert Bartholomé, Le Sculpteur et ### ";"n° 13 ### ";"
"
"0631cee4-11e7-4d09-a10c-6a4b43f6e8cd";;"Note sur l'exposition - 1978, Le Havre, Musée des Beaux-Arts.... ###  ### Note sur l'exposition - 1987, Le Havre, Musée des Beaux-Arts André Malraux ### ";"p. 45 du catalogue, ch. Animaux ###  ### n° 137 du catalogue, vignette en noir et blanc ### ";"
"
"06328b70-31d0-48be-9467-4a1d739f821a";"";;;"
"
